"","",""
"","",""
"Prices"," Plans"," Details"
"","",""
"$ 30 .00 per month","Pay-per-use data","Unlimited Canada-wide minutes"
"$ 34 .00 per month","20 GB 4G speed","Pick 1 Free Perk from options like Premium Voicemail"
"$ 39 .00 per month","40 GB 4G speed","Pick 1 Free Perk from options like Rollover Data"
"$ 44 .00 per month","50 GB 4G speed","Pick 1 Free Perk from options like Unlimited Long Distance Pack"
"$ 15 .00 per month","250 MB 3G speed","100 Canada-wide minutes with unlimited incoming minutes"
"$ 35 .00 per month","3 GB 3G speed","Unlimited Canada-wide minutes"
