Type,Name/Title,Price,Inclusions/Description,,
WiFi Plan,Ignite Starter TV,104,"Up to 40 channels; 4K content; Local news, Canadian and US network stations; Includes unlimited internet with 150 Mbps speeds; ",,
WiFi Plan,Ignite Popular TV,134,"Up to 116 channels; More 4K content; News, sports, kids and movie channels; Includes unlimited internet with 150 Mbps speeds; ",,
WiFi Plan,Ignite Total TV,159,"Up to 158 channels; More 4K content; News, sports, kids, movies and specialty channels; Includes unlimited internet with 150 Mbps speeds; ",,
Mobile Deal,Switch to Canada’s largest and most reliable 5G network1 starting at $50/month,,Don’t settle for less. Get a 5G mobile plan starting at $50/month3  After Automatic Payments Discount2 when you bring your own device and when paired with a home service.,,
Mobile Deal,Get fibre-powered internet starting as low as $55/month!,,Get our most reliable fibre-powered internet.,,
Mobile Deal,Save on your dream phone with iPhone 15,,Trade in an eligible device and get iPhone 15 128GB for $48.38 $0/month (after bill credit, plus taxes) for 24 months on select plans with phone financing plus Save & Return when you bring back your device after 2 years. $0 down on approved credit, 0% interest. Trade in available in store only.
Mobile Deal,Google Pixel 8: better phone, an even better deal.,,Trade in an eligible device and elevate your style with the Google Pixel 8 for only $0/month (after bill credit, plus taxes) for 24 months on select plans3 with financing1 and Save & Return2 when you bring back your device after 2 years. Trade in available in store only.4 
Mobile Deal,Elevate to epic with the Samsung Galaxy S24,,Trade in an eligible device and get the Samsung Galaxy S24 with Galaxy AI for as low as $56.61 $0/month (after bill credit, plus taxes) for 24 months on a 5G mobile plan3 with financing1 and Save & Return2 when you bring back your device after 2 years. $0 down on approved credit, 0% interest. Trade in available in store only.4
Mobile Deal,Now get iPhone 15 Pro with 50% lower monthly payments*,,No interest, no mobile term contract needed. Only with the Rogers credit card.,
Mobile Deal,New 5G Home Internet,,Plug & Play. Risk free, try for 30 days,
Mobile Deal,Save up to $50/mo when you add a line!,,Add a loved one to your account and save! Customers with existing Mobile and Home services can save up to $50/mo when they add a line on Rogers Infinite plans.1,,
Mobile Deal,Meet the Rogers Mastercard®,,Apply for the Rogers Mastercard today and enjoy these amazing benefits:,,
Mobile Deal,Welcome to Canada, welcome to Rogers,,Shop 5G-ready devices guaranteed to work in Canada and select mobile plans with international long-distance minutes. With Canada’s largest and most reliable 5G network1, Rogers is what more newcomers can trust.
Mobile Deal,Device protection open enrollment is back!,,Missed out on device protection when you first got your phone? You’re in luck!,,
Mobile Deal,Refer your friends and save up to $300 per year!,,You can earn a $50 bill credit for each friend that you refer who becomes a new Rogers Wireless customer.* Your friend will also get a $50 bill credit after activating their service. Save up to $300 a year when you refer multiple friends! Sign up for Rogers Refer Your Friends today!,,
Mobile Deal,Exclusive 5G mobile savings for new and existing home customers,,Exclusive offer: Get our Infinite Essentials plan with 100GB of data at speeds up to 1 Gbps, reduced speeds thereafter for $90 $60/mo (after $30/mo discount and after Automatic Payments Discount1).,
